data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
5087552,804,UKR1964,1964,"26 February 2018",2018,1,Protests,"Protest with intervention","Protesters (Ukraine)",,6,"Police Forces of Ukraine (2014-)","Government of Ukraine (2014-)",1,16,Europe,Ukraine,"Kiev City",Kiev,,Kiev,50.4496,30.5224,1,"Dzerkalo Tyzhnia",National,"On February 26, 2018 according to Zerkalo Nedeli, Prosecutor-General Yuriy Lutsenko attacked the activists who set up a tent camp outside his house in Kiev. The picketers say that the prosecutor-general came to them with an axe and accompanied by two body guards and threatened them with retaliation, saying obscenities. Also, he smashed their generator with an axe, cut the cables and tore down the banner calling for the release of Severion Dangadze.",0,1553853278,UKR
5081087,300,GRC39,39,"25 February 2018",2018,1,Riots,"Violent demonstration","Rioters (Greece)","Anarchist Group (Greece)",5,,,0,50,Europe,Greece,Attica,Athens,"Central Athens",Athens,37.9833,23.7333,2,"The National Herald",International,"On Feb. 25, 2018: Anarchist group tossed flyers outside former Prime Minister Papademos' home in Palaio Psychico, Athens, and spray-painted slogans on the sidewalk in solidarity with prisoner Giagtzoglou, who had been suspected of sending a bomb which seriously injured Papademos in 2016.",0,1553853271,GRC
5087397,804,UKR1809,1809,"23 February 2018",2018,1,Riots,"Violent demonstration","Rioters (Ukraine)","Sokil; AutoMaidan; Odessa Self-Defence",5,"Police Forces of Ukraine (2014-)",,1,15,Europe,Ukraine,Odessa,"Odessa Municipality",,Odessa,46.4639,30.7386,1,"OSCE SMM-Ukraine",National,"On February 23, 2018 the OSCE SMM-Ukraine observed about 100 people wearing camouflage and balaclavas, however some recognized as members of Automaidan Odessa, Sokil and Odessa Self-Defence groups. People gathered outside the building of the Sanatorium 'Lermontovskyi' in Odessa to 'take back the building that had been seized in the early morning' by the authorities. It was reported that some minor scuffles took place between the participants of the gathering and the police.",0,1553853278,UKR
5087398,804,UKR1810,1810,"23 February 2018",2018,1,Protests,"Protest with intervention","Protesters (Ukraine)",,6,"Police Forces of Ukraine (2014-)",,1,16,Europe,Ukraine,Odessa,"Odessa Municipality",,Odessa,46.4639,30.7386,1,"OSCE SMM-Ukraine",National,"On February 23, 2018 according to OSCE SMM-Ukraine about 120 people carrying white flags with yellow flames and 'Faith and Memory' written in Russian gathered at the monument of the Unknown Sailor in Shevchenko Park in Odessa to commemorate the Defender of the Fatherland day. About 300m away, the SMM observed police officers preventing a group of about 20 people from attending the gathering. The police told the SMM that they had prevented the group's participation as those in the group had refused to identify themselves.",0,1553853278,UKR
5087400,804,UKR1812,1812,"23 February 2018",2018,1,"Violence against civilians",Attack,"Unidentified Armed Group (Ukraine)",,3,"Civilians (Ukraine)",,7,37,Europe,Ukraine,Odessa,"Odessa Municipality",,Odessa,46.4639,30.7386,1,Taymer,Subnational,"On February 23, 2018, an unknown person has sprayed pepper gas in the face of Odessa regional councillor Oleksiy Kobylnikov.",0,1553853278,UKR
5079789,112,BLR15,15,"18 February 2018",2018,1,"Violence against civilians",Attack,"Police Forces of Belarus (1994-)",,1,"Civilians (Belarus)","Journalists (Belarus)",7,17,Europe,Belarus,Minsk,"City of Minsk",,Minsk,53.9,27.5667,1,"RFE/RL; BelaPAN",National-International,"On February 18th, Belarusian journalist Andrus Kozel was beaten by four policemen whilst filming in a polling station in Minsk.",0,1553853269,BLR
5538030,804,UKR1544,1544,"18 February 2018",2018,1,Riots,"Violent demonstration","Rioters (Ukraine)","OUN: Organization of Ukrainian Nationalists; White Hammer; SNA: Social-National Assembly",5,,,0,50,Europe,Ukraine,"Kiev City",Kiev,,Kiev,50.4496,30.5224,1,"Interfax; ITAR-TASS",Regional,"On 18 February, about 100 rioters including members of OUN, White Hammer, Social-National Assembly, Black Committee and Committee for the Liberation of Political Prisoners, attacked the offices of Russia's Alfa Bank and Sberbank as well as the Russian Cultural Centers in the Kiev, chanting slogans against Russia and causing material damage. Members of the Ukrainian National Guard and police deployed nearby did not intervene. No casualties were reported.",0,1561483059,UKR
5082975,643,RUS173,173,"17 February 2018",2018,1,Protests,"Protest with intervention","Protesters (Russia)",,6,"Police Forces of Russia (2000-)",,1,16,Europe,Russia,Moscow,"Moscow Municipality",,Moscow,55.7522,37.6156,1,Izvestia,National,"On February 17th, law enforcers interrupted a protest of shareholders of a company, who were allegedly cheated by the presidential candidate Pavel Grudinin. They held their protest in Moscow near a building, where the Communist party was currently organising a national forum of investors. 15 protesters were detained, documented and later released.",0,1553853273,RUS
5087095,804,UKR1507,1507,"17 February 2018",2018,1,Riots,"Mob violence","Rioters (Ukraine)","C14; Right Sector; Traditions and Order; Radical Party",5,"Civilians (Ukraine)",,7,57,Europe,Ukraine,"Kiev City",Kiev,,Kiev,50.4496,30.5224,1,"Sputnik News Service; ITAR-TASS",Regional,"On 17 February, about 30 rioters, among them members of C14, Right Sector, Traditions and Order and Verkhovna Rada member Andriy Lozovyi (Radical Party), attacked the Russian Cultural Center in Kiev, causing material damage and threatening people inside. No casualties were reported.",0,1553853278,UKR
5087056,804,UKR1468,1468,"16 February 2018",2018,1,Riots,"Mob violence","Rioters (Ukraine)","Svoboda; Right Sector; AutoMaidan",5,"Police Forces of Ukraine (2014-)",,1,15,Europe,Ukraine,Odessa,"Odessa Municipality",,Odessa,46.4639,30.7386,1,"OSCE SMM-Ukraine",National,"On February 16, 2018 the SMM observed appr. 200 people demonstrating against the outcome of the pre-trial detention hearing for the mayor of Odessa in front of the City Hall in Odessa. People were affiliated with the groups Right Sector, AutoMaidan and Svoboda. There was a minor scuffle between the police and two men with a Svoboda insignia.",0,1553853278,UKR
5086911,804,UKR1323,1323,"13 February 2018",2018,1,"Violence against civilians",Attack,"Unidentified Armed Group (Ukraine)",,3,"Civilians (Ukraine)","Journalists (Ukraine)",7,37,Europe,Ukraine,Odessa,"Odessa Municipality",,Odessa,46.4639,30.7386,1,"Ukraine General Newswire",Regional,"On February 13, 2018, some activists tried to force a journalist Maksym Voitenko out of the courtroom of the Kyivsky District Court of Odessa. On February 14, 2018, the police opened criminal proceedings under Part 1, Article 171 (obstruction of the lawful professional activity of journalists) of the Criminal Code of Ukraine.",0,1553853278,UKR
5086864,804,UKR1276,1276,"12 February 2018",2018,1,Riots,"Mob violence","Rioters (Ukraine)","Movement of New Forces",5,"Police Forces of Ukraine (2014-)","Police Forces of Ukraine (2014-) State Border Guard Service",1,15,Europe,Ukraine,"Kiev City",Kiev,,Kiev,50.4496,30.5224,1,Unian,National,"On February 12, 2018 , State Border Guard Service together the Migration Service and National Police informed Mikheil Saakashvili on the decision of his expulsion from Kiev, Ukraine. During this process, unidentified individuals from Mikhail Saakashvili's entourage attacked law enforcement officials. Border guards were forced to defend themselves and employed force support.",0,1553853277,UKR
